timestamp,demand_mw,solar_actual_mw,wind_actual_mw,solar_capacity_mw,wind_capacity_mw,solar_irradiance_wm2,wind_speed_ms,temperature_c,battery_soc_pct,grid_import_mw,grid_export_mw,frequency_hz,voltage_pu,hour_of_day,day_of_week,month,is_weekend
2024-01-01 00:00:00.000+00:00,206.39,0.65,39.03,150.0,80.0,0,7.32,8.89,50,166.71,0,49.9962,1.0025,0,0,1,0
2024-01-01 00:15:00.000+00:00,202.84,0,45.02,150.0,80.0,0,8.1,5.44,50.16,157.3,0,49.9594,0.9948,0,0,1,0
2024-01-01 00:30:00.000+00:00,203.19,0.04,40.45,150.0,80.0,0,7.44,7.26,48.63,167.6,0,49.9612,0.9959,0,0,1,0
2024-01-01 00:45:00.000+00:00,203.4,0.28,33.4,150.0,80.0,0,6.74,6.62,45.04,180,0,50.0162,0.9998,0,0,1,0
2024-01-01 01:00:00.000+00:00,201.12,0.39,34.42,150.0,80.0,0,6.93,4.7,42.48,174.48,0,50.0202,1.0076,1,0,1,0
2024-01-01 01:15:00.000+00:00,206.46,0,41.51,150.0,80.0,0,7.62,5.91,40.56,171.11,0,49.9694,1.0125,1,0,1,0
2024-01-01 01:30:00.000+00:00,194.61,0.32,31.33,150.0,80.0,0,6.52,4.19,39.52,166.26,0,50.0344,1.009,1,0,1,0
2024-01-01 01:45:00.000+00:00,201.27,0,37.98,150.0,80.0,0,7.19,6.2,38.63,166.16,0,50.0093,0.9935,1,0,1,0
2024-01-01 02:00:00.000+00:00,200.54,0,36.9,150.0,80.0,0,7.23,6.33,37.63,166.84,0,50.0159,1,2,0,1,0
2024-01-01 02:15:00.000+00:00,198.75,0,39.62,150.0,80.0,0,7.4,4.94,38.21,157.27,0,50.0381,1.0036,2,0,1,0
2024-01-01 02:30:00.000+00:00,204.32,0,37.62,150.0,80.0,0,7.25,4.5,36.47,172.28,0,49.9566,1.0071,2,0,1,0
2024-01-01 02:45:00.000+00:00,202.65,0,40.49,150.0,80.0,0,7.55,5.14,36.21,162.98,0,50.0297,1.0002,2,0,1,0
2024-01-01 03:00:00.000+00:00,193.87,0,58.63,150.0,80.0,0,9.59,5.52,44.47,108.82,0,49.9938,1.0188,3,0,1,0
2024-01-01 03:15:00.000+00:00,193.58,0,47.83,150.0,80.0,0,8.33,3.41,49.66,129.14,0,50.0094,0.9889,3,0,1,0
2024-01-01 03:30:00.000+00:00,198.82,0,46.61,150.0,80.0,0,8.3,2.66,52.9,141.84,0,49.996,1.001,3,0,1,0
2024-01-01 03:45:00.000+00:00,189.61,0,43.98,150.0,80.0,0,7.98,3.9,58.39,128.08,0,50.0046,1.0086,3,0,1,0
2024-01-01 04:00:00.000+00:00,190.79,0,42.9,150.0,80.0,0,7.86,5.29,63.28,132.23,0,50.0327,1.0068,4,0,1,0
2024-01-01 04:15:00.000+00:00,197.09,0.22,39.6,150.0,80.0,0,7.48,4.49,65.38,150.58,0,50.0183,1.0017,4,0,1,0
2024-01-01 04:30:00.000+00:00,193.95,0.43,45.45,150.0,80.0,0,8.1,3.24,70.52,131.61,0,49.9777,1.0039,4,0,1,0
2024-01-01 04:45:00.000+00:00,200.95,0.2,34.62,150.0,80.0,0,6.93,3.23,70.1,167.47,0,50.0273,0.9916,4,0,1,0
2024-01-01 05:00:00.000+00:00,200.03,0.49,43.12,150.0,80.0,0,7.83,3.18,72.76,147.93,0,49.9552,1.0164,5,0,1,0
2024-01-01 05:15:00.000+00:00,195.14,0,22.46,150.0,80.0,0,5.49,2.54,70.33,180,0,49.9492,0.9996,5,0,1,0
2024-01-01 05:30:00.000+00:00,198.97,0,20.41,150.0,80.0,0,5.24,2.76,66.04,180,0,50.0522,1.0022,5,0,1,0
2024-01-01 05:45:00.000+00:00,199.54,0,21.19,150.0,80.0,0,5.46,2.58,61.95,180,0,50.0275,1.0076,5,0,1,0
2024-01-01 06:00:00.000+00:00,197.18,0,36.67,150.0,80.0,0,7.13,2.02,63.37,155.97,0,49.9945,1.0041,6,0,1,0
2024-01-01 06:15:00.000+00:00,201.54,0,26.37,150.0,80.0,0,5.88,3.08,60.24,180,0,50.0069,0.9881,6,0,1,0
2024-01-01 06:30:00.000+00:00,201.23,0.03,36.46,150.0,80.0,0,7.1,2.48,60.44,164.1,0,50.0073,1.004,6,0,1,0
2024-01-01 06:45:00.000+00:00,201.06,0.2,34.48,150.0,80.0,0,6.94,1.92,60.18,167.21,0,50.0026,0.9982,6,0,1,0
2024-01-01 07:00:00.000+00:00,195.62,0.14,24.12,150.0,80.0,0,5.8,2,58.51,176.69,0,50.0228,1.0176,7,0,1,0
2024-01-01 07:15:00.000+00:00,199.87,0,17.75,150.0,80.0,0,5.07,2.62,53.95,180,0,49.97,0.9993,7,0,1,0
2024-01-01 07:30:00.000+00:00,196.36,0.18,26.37,150.0,80.0,6.7,6.06,2.19,53.4,171.58,0,50.017,0.9909,7,0,1,0
2024-01-01 07:45:00.000+00:00,204.3,1.22,21.96,150.0,80.0,58.7,5.49,3.61,49.54,180,0,49.9984,0.9942,7,0,1,0
2024-01-01 08:00:00.000+00:00,195.49,3.48,15.73,150.0,80.0,129,4.8,0.31,47.56,180,0,49.9709,0.9911,8,0,1,0
2024-01-01 08:15:00.000+00:00,209.4,3.89,25.57,150.0,80.0,144.5,5.95,1.7,44.73,180,0,50.0058,0.9941,8,0,1,0
2024-01-01 08:30:00.000+00:00,205.41,6.77,22.16,150.0,80.0,237.2,5.52,3.48,43.03,180,0,50.0257,0.9981,8,0,1,0
2024-01-01 08:45:00.000+00:00,206.72,6.31,28.84,150.0,80.0,238.6,6.24,4.39,43.04,171.54,0,49.9469,1.0064,8,0,1,0
2024-01-01 09:00:00.000+00:00,208.17,9.16,25.23,150.0,80.0,334.4,5.84,1.06,42.38,175.92,0,49.9745,1.0015,9,0,1,0
2024-01-01 09:15:00.000+00:00,204,9.69,29,150.0,80.0,361.1,6.36,3.11,44.55,158.35,0,50.0173,1.0059,9,0,1,0
2024-01-01 09:30:00.000+00:00,205.16,10.4,31.46,150.0,80.0,404.4,6.54,1.46,47.41,154.15,0,49.9647,1.0039,9,0,1,0
2024-01-01 09:45:00.000+00:00,221.79,12.4,33.07,150.0,80.0,437.7,6.67,1.86,46.18,180,0,49.9918,1.0013,9,0,1,0
2024-01-01 10:00:00.000+00:00,206.21,12.43,37.53,150.0,80.0,481.1,7.18,3.05,51.32,139.8,0,49.9919,1.0104,10,0,1,0
2024-01-01 10:15:00.000+00:00,215.59,13.92,34.01,150.0,80.0,494,6.76,3.37,53.06,162.1,0,50.0116,0.9957,10,0,1,0
2024-01-01 10:30:00.000+00:00,213,14.94,31.67,150.0,80.0,540.4,6.53,2.88,55.29,159.26,0,50.0009,1.0061,10,0,1,0
2024-01-01 10:45:00.000+00:00,214.6,15.3,26.97,150.0,80.0,572.3,6.03,1.52,55.89,170.4,0,49.9758,1.0037,10,0,1,0
2024-01-01 11:00:00.000+00:00,217.15,14.37,25.15,150.0,80.0,533.5,5.83,2.07,54.96,180,0,50.0213,1.0005,11,0,1,0
2024-01-01 11:15:00.000+00:00,219.6,14.61,19.77,150.0,80.0,531.8,5.17,2.25,51.86,180,0,50.0279,0.9894,11,0,1,0
2024-01-01 11:30:00.000+00:00,219.18,19.2,37.35,150.0,80.0,710.4,7.29,2.82,55.92,149.65,0,49.9689,1.0021,11,0,1,0
2024-01-01 11:45:00.000+00:00,218.99,15.94,27.44,150.0,80.0,590,6.23,3.77,56.14,174.91,0,49.9965,0.9988,11,0,1,0
2024-01-01 12:00:00.000+00:00,225.43,15.71,24.45,150.0,80.0,590.4,5.7,4.81,53.51,180,0,49.9828,1.0049,12,0,1,0
2024-01-01 12:15:00.000+00:00,217.9,16.73,23.32,150.0,80.0,596.9,5.59,5.06,53.27,178.63,0,49.9802,1.0038,12,0,1,0
2024-01-01 12:30:00.000+00:00,228.06,19.43,45.05,150.0,80.0,711.5,8.1,4.72,57.54,149.9,0,49.9968,1.0014,12,0,1,0
2024-01-01 12:45:00.000+00:00,226.35,19.34,40.41,150.0,80.0,703.5,7.61,4.16,61.02,155.45,0,49.9963,0.9922,12,0,1,0
2024-01-01 13:00:00.000+00:00,223.42,17.37,39.01,150.0,80.0,640.1,7.38,2.21,64.57,155.71,0,50.0144,1.0102,13,0,1,0
2024-01-01 13:15:00.000+00:00,229.4,17.33,35.23,150.0,80.0,639.8,6.94,4.34,65.15,174.99,0,49.9859,1.0096,13,0,1,0
2024-01-01 13:30:00.000+00:00,232.28,13.69,40.52,150.0,80.0,502.3,7.62,5.06,65.46,177.09,0,49.9897,0.9976,13,0,1,0
2024-01-01 13:45:00.000+00:00,230.49,12.37,40.94,150.0,80.0,467.5,7.63,5.86,66.32,174.43,0,49.961,0.9977,13,0,1,0
2024-01-01 14:00:00.000+00:00,233.4,12.24,32.22,150.0,80.0,448.2,6.58,4.83,63.52,180,0,49.949,1.0125,14,0,1,0
2024-01-01 14:15:00.000+00:00,229.81,9.9,42.19,150.0,80.0,357.1,7.72,5.62,64.23,175.43,0,50.0287,1.0083,14,0,1,0
2024-01-01 14:30:00.000+00:00,237.24,9.38,43.02,150.0,80.0,368.6,7.83,5.89,62.72,180,0,50.0371,1.0085,14,0,1,0
2024-01-01 14:45:00.000+00:00,237.67,8.58,39.97,150.0,80.0,311.2,7.49,5.67,59.87,180,0,49.9684,1.0088,14,0,1,0
2024-01-01 15:00:00.000+00:00,229.64,7.12,42.47,150.0,80.0,265.6,7.78,6.56,59.86,180,0,50.0341,1.0131,15,0,1,0
2024-01-01 15:15:00.000+00:00,234.67,8.47,34.64,150.0,80.0,302.1,6.96,5.31,56.24,180,0,49.9748,0.9941,15,0,1,0
2024-01-01 15:30:00.000+00:00,236.86,6.34,37.41,150.0,80.0,242.3,7.26,6.45,52.15,180,0,50.0076,1.012,15,0,1,0
2024-01-01 15:45:00.000+00:00,235.46,3.6,39.76,150.0,80.0,138.8,7.4,7.87,48.36,180,0,49.9979,1.0047,15,0,1,0
2024-01-01 16:00:00.000+00:00,239.88,3.26,36.07,150.0,80.0,112.3,6.95,6.85,41.94,180,0,49.9968,0.9895,16,0,1,0
2024-01-01 16:15:00.000+00:00,231.61,2.13,47.38,150.0,80.0,73.1,8.35,7.71,41.29,180,0,50.0249,0.996,16,0,1,0
2024-01-01 16:30:00.000+00:00,231.43,0.35,44.47,150.0,80.0,7,7.92,5.43,39.22,180,0,50.0137,0.9846,16,0,1,0
2024-01-01 16:45:00.000+00:00,235.11,0,43.03,150.0,80.0,0,7.8,9.13,35.44,180,0,49.9953,0.9941,16,0,1,0
2024-01-01 17:00:00.000+00:00,240.24,0.44,46.66,150.0,80.0,0,8.26,5.65,31.34,180,0,50.0063,1.0031,17,0,1,0
2024-01-01 17:15:00.000+00:00,238.86,0.2,54.44,150.0,80.0,0,9.05,8.48,30.02,180,0,49.9601,1.0061,17,0,1,0
2024-01-01 17:30:00.000+00:00,228.98,0,51.56,150.0,80.0,0,8.7,6.7,30.83,174.83,0,49.9854,1.001,17,0,1,0
2024-01-01 17:45:00.000+00:00,233.73,0.12,42.24,150.0,80.0,0,7.7,8.89,27.27,180,0,50.0499,0.9956,17,0,1,0
2024-01-01 18:00:00.000+00:00,239.37,0,50.08,150.0,80.0,0,8.53,6.01,24.37,180,0,49.9772,0.983,18,0,1,0
2024-01-01 18:15:00.000+00:00,227.63,0,58.1,150.0,80.0,0,9.44,7.47,27.65,159.06,0,49.9942,1.0192,18,0,1,0
2024-01-01 18:30:00.000+00:00,233.38,0,45.5,150.0,80.0,0,8.03,8.84,25.18,180,0,49.9962,0.9945,18,0,1,0
2024-01-01 18:45:00.000+00:00,231.3,0,45.29,150.0,80.0,0,8.04,8.54,23.31,180,0,49.9678,0.9946,18,0,1,0
2024-01-01 19:00:00.000+00:00,231.89,0,45.87,150.0,80.0,0,8.13,5.88,21.42,180,0,50.0016,1.003,19,0,1,0
2024-01-01 19:15:00.000+00:00,226.62,0.2,41.01,150.0,80.0,0,7.57,9.65,19.73,180,0,49.9761,0.9994,19,0,1,0
2024-01-01 19:30:00.000+00:00,229.06,0,48.81,150.0,80.0,0,8.38,7.89,19.66,180,0,49.9677,0.9924,19,0,1,0
2024-01-01 19:45:00.000+00:00,226.2,0,25.96,150.0,80.0,0,5.93,7.63,13.33,180,0,50.0036,1.0027,19,0,1,0
2024-01-01 20:00:00.000+00:00,228.1,0.55,43.07,150.0,80.0,0,7.81,9.36,11.94,180,0,49.9592,0.9956,20,0,1,0
2024-01-01 20:15:00.000+00:00,226.89,0.16,44.09,150.0,80.0,0,8.02,7.14,11.11,180,0,49.9869,1.0134,20,0,1,0
2024-01-01 20:30:00.000+00:00,228.29,0.21,35.9,150.0,80.0,0,7.08,8.3,7.3,180,0,50.0169,0.9956,20,0,1,0
2024-01-01 20:45:00.000+00:00,224.14,0,36.38,150.0,80.0,0,7.09,8.32,5,180,0,50.0441,0.9893,20,0,1,0
2024-01-01 21:00:00.000+00:00,216.76,0.38,31.44,150.0,80.0,0,6.58,7.21,5,180,0,50.0012,1.0091,21,0,1,0
2024-01-01 21:15:00.000+00:00,220.63,0.31,38.07,150.0,80.0,0,7.29,8.01,5,180,0,49.9936,1.0031,21,0,1,0
2024-01-01 21:30:00.000+00:00,223.2,0.09,34.26,150.0,80.0,0,6.88,8.18,5,180,0,49.9951,0.9895,21,0,1,0
2024-01-01 21:45:00.000+00:00,219,0,38.1,150.0,80.0,0,7.22,7.7,5,180,0,50.0556,0.9985,21,0,1,0
2024-01-01 22:00:00.000+00:00,218.71,0.04,43.99,150.0,80.0,0,7.89,8.89,6.12,171.1,0,50.0347,1.0054,22,0,1,0
2024-01-01 22:15:00.000+00:00,209.28,0.22,33.13,150.0,80.0,0,6.71,8.74,6.59,174.43,0,49.9978,0.9917,22,0,1,0
2024-01-01 22:30:00.000+00:00,216.04,0,41.16,150.0,80.0,0,7.63,6.19,7.45,172.13,0,49.9569,1.0065,22,0,1,0
2024-01-01 22:45:00.000+00:00,212.53,0.55,34.5,150.0,80.0,0,6.91,7.03,7.39,177.66,0,49.9994,1.0093,22,0,1,0
2024-01-01 23:00:00.000+00:00,216.12,0,42.68,150.0,80.0,0,7.75,6.35,8.36,170.34,0,49.9065,1.011,23,0,1,0
2024-01-01 23:15:00.000+00:00,208.09,0,46.93,150.0,80.0,0,8.35,7.66,13.11,145.98,0,50.0174,1.0033,23,0,1,0
2024-01-01 23:30:00.000+00:00,207.85,0.24,39.29,150.0,80.0,0,7.52,6.43,15.46,160.8,0,49.9835,1.006,23,0,1,0
2024-01-01 23:45:00.000+00:00,211.71,0,36.73,150.0,80.0,0,7.12,5.79,15.71,174.18,0,50.0232,0.9942,23,0,1,0
2024-01-02 00:00:00.000+00:00,211.1,0,39,150.0,80.0,0,7.25,7.04,16.59,169.28,0,49.9469,0.9995,0,1,1,0
2024-01-02 00:15:00.000+00:00,211.3,0,26.58,150.0,80.0,0,5.91,7.44,13.42,180,0,49.9955,1.0136,0,1,1,0
2024-01-02 00:30:00.000+00:00,205.36,0.01,31.43,150.0,80.0,0,6.59,5.77,13.61,173.31,0,50.0167,1.0004,0,1,1,0
2024-01-02 00:45:00.000+00:00,198.75,0,39.08,150.0,80.0,0,7.49,7.29,18.12,145.24,0,49.9923,1.0029,0,1,1,0
2024-01-02 01:00:00.000+00:00,204.3,0,31.61,150.0,80.0,0,6.55,5.75,18.53,171.39,0,49.9474,1.0127,1,1,1,0
2024-01-02 01:15:00.000+00:00,205.89,0,40.26,150.0,80.0,0,7.57,4.86,21.15,157.25,0,50.0254,0.996,1,1,1,0
2024-01-02 01:30:00.000+00:00,203.14,0,37.55,150.0,80.0,0,7.13,6.61,23.76,157.24,0,50.0021,1.0195,1,1,1,0
2024-01-02 01:45:00.000+00:00,206.79,0.36,35.09,150.0,80.0,0,6.93,5.11,24.53,168.9,0,49.993,1.012,1,1,1,0
2024-01-02 02:00:00.000+00:00,201.37,0.32,33.99,150.0,80.0,0,6.84,5.58,26.55,160.56,0,49.992,1.0009,2,1,1,0
2024-01-02 02:15:00.000+00:00,201.08,0.1,38.66,150.0,80.0,0,7.34,5.95,30.18,150.7,0,49.9613,0.9955,2,1,1,0
2024-01-02 02:30:00.000+00:00,200.09,0.23,23.74,150.0,80.0,0,5.74,7.36,29.5,178.31,0,50.0427,0.9934,2,1,1,0
2024-01-02 02:45:00.000+00:00,200.92,0,23.2,150.0,80.0,0,5.64,4.42,28.46,180,0,50.0684,1.0017,2,1,1,0
2024-01-02 03:00:00.000+00:00,191.07,0,30.9,150.0,80.0,0,6.45,5.51,33.01,145.61,0,49.9922,1.0011,3,1,1,0
2024-01-02 03:15:00.000+00:00,204.94,0,25.5,150.0,80.0,0,5.88,5.34,31.62,180,0,50.0199,0.9902,3,1,1,0
2024-01-02 03:30:00.000+00:00,193.47,0.26,23.82,150.0,80.0,0,5.71,3.16,33.62,163,0,50.0328,1.0006,3,1,1,0
2024-01-02 03:45:00.000+00:00,195.5,0,18.11,150.0,80.0,0,5.05,2.91,33.38,178.16,0,50.0137,0.991,3,1,1,0
2024-01-02 04:00:00.000+00:00,191.88,0.14,20.09,150.0,80.0,0,5.26,3.72,35.08,166.21,0,49.9676,1.0008,4,1,1,0
2024-01-02 04:15:00.000+00:00,197.81,0.04,23.17,150.0,80.0,0,5.57,3.49,36.08,171.39,0,49.9863,1.0043,4,1,1,0
2024-01-02 04:30:00.000+00:00,195.1,0,15.28,150.0,80.0,0,4.73,3.47,35.45,180,0,49.9951,1.0021,4,1,1,0
2024-01-02 04:45:00.000+00:00,200.69,0.09,22.07,150.0,80.0,0,5.44,3.5,35.34,178.86,0,50.0504,1.004,4,1,1,0
2024-01-02 05:00:00.000+00:00,198.35,0,13.9,150.0,80.0,0,4.55,2.79,33.6,180,0,49.9282,1.0083,5,1,1,0
2024-01-02 05:15:00.000+00:00,194.18,0.67,8.67,150.0,80.0,0,3.93,2.66,31.78,180,0,50.0014,0.9996,5,1,1,0
2024-01-02 05:30:00.000+00:00,198.16,0.22,17.47,150.0,80.0,0,5,3.4,31.45,180,0,49.9704,1.0073,5,1,1,0
2024-01-02 05:45:00.000+00:00,197.07,0.14,12.76,150.0,80.0,0,4.49,1.01,30.07,180,0,49.962,0.9949,5,1,1,0
2024-01-02 06:00:00.000+00:00,192.39,0,19.99,150.0,80.0,0,5.23,0.66,32.37,165.04,0,49.9956,1.0052,6,1,1,0
2024-01-02 06:15:00.000+00:00,199.71,0.02,12.36,150.0,80.0,0,4.34,1.32,30.08,180,0,50.0128,0.9987,6,1,1,0
2024-01-02 06:30:00.000+00:00,196.6,0.34,20.46,150.0,80.0,0,5.24,1.73,31.39,171.62,0,50.0145,1.006,6,1,1,0
2024-01-02 06:45:00.000+00:00,204.93,0,14.62,150.0,80.0,0,4.62,4.16,28.16,180,0,50.0069,0.9965,6,1,1,0
2024-01-02 07:00:00.000+00:00,205.36,0.05,17,150.0,80.0,0,4.91,1.33,25.57,180,0,49.9482,0.9942,7,1,1,0
2024-01-02 07:15:00.000+00:00,198.43,0.05,15.7,150.0,80.0,0,4.88,0.66,24.73,180,0,50.0501,1.0128,7,1,1,0
2024-01-02 07:30:00.000+00:00,199.56,0.16,12.33,150.0,80.0,9.1,4.32,2.99,22.52,180,0,49.9998,1.008,7,1,1,0
2024-01-02 07:45:00.000+00:00,201.09,1.59,3.5,150.0,80.0,52.7,3.41,1.96,17.52,180,0,49.9645,0.9945,7,1,1,0
2024-01-02 08:00:00.000+00:00,206.04,2.68,13.46,150.0,80.0,101.2,4.48,2.15,14.14,180,0,50.0074,1.0105,8,1,1,0
2024-01-02 08:15:00.000+00:00,205.77,4.33,5.27,150.0,80.0,150.9,3.55,4.72,8.67,180,0,49.9858,1.0029,8,1,1,0
2024-01-02 08:30:00.000+00:00,197.88,4.77,8.73,150.0,80.0,189.8,3.99,3.45,6.69,180,0,49.9846,1.0027,8,1,1,0
2024-01-02 08:45:00.000+00:00,200.86,7.77,6.65,150.0,80.0,285.2,3.7,4.56,5,180,0,50.0287,0.9881,8,1,1,0
2024-01-02 09:00:00.000+00:00,202.71,10.63,9.13,150.0,80.0,371.1,3.92,1.23,5,180,0,49.964,0.9917,9,1,1,0
2024-01-02 09:15:00.000+00:00,206.96,11.34,18.44,150.0,80.0,419.9,5.14,1.67,5,177.19,0,50.052,0.9999,9,1,1,0
2024-01-02 09:30:00.000+00:00,210.22,11.67,20.56,150.0,80.0,437,5.34,1.31,5,177.99,0,50.0234,1.0021,9,1,1,0
2024-01-02 09:45:00.000+00:00,202.41,14.11,10.78,150.0,80.0,530.2,4.21,1.52,5,177.52,0,50.012,1.0041,9,1,1,0
2024-01-02 10:00:00.000+00:00,211.66,14.05,26.05,150.0,80.0,525.9,5.88,3.34,5.87,168.77,0,50.0562,1.0005,10,1,1,0
2024-01-02 10:15:00.000+00:00,221.86,12.04,21.11,150.0,80.0,435.5,5.42,1.65,5,180,0,49.9924,0.9922,10,1,1,0
2024-01-02 10:30:00.000+00:00,217.95,16.53,20.39,150.0,80.0,602.2,5.26,1.99,5,180,0,50.022,1.0087,10,1,1,0
2024-01-02 10:45:00.000+00:00,219.95,14.95,20.83,150.0,80.0,559.4,5.38,3.53,5,180,0,50.0251,1.0003,10,1,1,0
2024-01-02 11:00:00.000+00:00,210.78,17.17,30.62,150.0,80.0,665.8,6.38,2.76,8.94,150.36,0,50.0113,0.9902,11,1,1,0
